state,state_code,state_fip,county,county_fip
Alabama,AL,1,Autauga County,1001
Alabama,AL,1,Baldwin County,1003
Alabama,AL,1,Barbour County,1005
Alabama,AL,1,Bibb County,1007
Alabama,AL,1,Blount County,1009
Alabama,AL,1,Bullock County,1011
Alabama,AL,1,Butler County,1013
Alabama,AL,1,Calhoun County,1015
Alabama,AL,1,Chambers County,1017
Alabama,AL,1,Cherokee County,1019
Alabama,AL,1,Chilton County,1021
Alabama,AL,1,Choctaw County,1023
Alabama,AL,1,Clarke County,1025
Alabama,AL,1,Clay County,1027
Alabama,AL,1,Cleburne County,1029
Alabama,AL,1,Coffee County,1031
Alabama,AL,1,Colbert County,1033
Alabama,AL,1,Conecuh County,1035
Alabama,AL,1,Coosa County,1037
Alabama,AL,1,Covington County,1039
Alabama,AL,1,Crenshaw County,1041
Alabama,AL,1,Cullman County,1043
Alabama,AL,1,Dale County,1045
Alabama,AL,1,Dallas County,1047
Alabama,AL,1,DeKalb County,1049
Alabama,AL,1,Elmore County,1051
Alabama,AL,1,Escambia County,1053
Alabama,AL,1,Etowah County,1055
Alabama,AL,1,Fayette County,1057
Alabama,AL,1,Franklin County,1059
Alabama,AL,1,Geneva County,1061
Alabama,AL,1,Greene County,1063
Alabama,AL,1,Hale County,1065
Alabama,AL,1,Henry County,1067
Alabama,AL,1,Houston County,1069
Alabama,AL,1,Jackson County,1071
Alabama,AL,1,Jefferson County,1073
Alabama,AL,1,Lamar County,1075
Alabama,AL,1,Lauderdale County,1077
Alabama,AL,1,Lawrence County,1079
Alabama,AL,1,Lee County,1081
Alabama,AL,1,Limestone County,1083
Alabama,AL,1,Lowndes County,1085
Alabama,AL,1,Macon County,1087
Alabama,AL,1,Madison County,1089
Alabama,AL,1,Marengo County,1091
Alabama,AL,1,Marion County,1093
Alabama,AL,1,Marshall County,1095
Alabama,AL,1,Mobile County,1097
Alabama,AL,1,Monroe County,1099
Alabama,AL,1,Montgomery County,1101
Alabama,AL,1,Morgan County,1103
Alabama,AL,1,Perry County,1105
Alabama,AL,1,Pickens County,1107
Alabama,AL,1,Pike County,1109
Alabama,AL,1,Randolph County,1111
Alabama,AL,1,Russell County,1113
Alabama,AL,1,St Clair County,1115
Alabama,AL,1,Shelby County,1117
Alabama,AL,1,Sumter County,1119
Alabama,AL,1,Talladega County,1121
Alabama,AL,1,Tallapoosa County,1123
Alabama,AL,1,Tuscaloosa County,1125
Alabama,AL,1,Walker County,1127
Alabama,AL,1,Washington County,1129
Alabama,AL,1,Wilcox County,1131
Alabama,AL,1,Winston County,1133
Alaska,AK,2,Aleutians East Borougha,2013
Alaska,AK,2,Aleutians West Census Areab,2016
Alaska,AK,2,Anchorage Municipality ofac,2020
Alaska,AK,2,Bethel Census Areab,2050
Alaska,AK,2,Bristol Bay Borougha,2060
Alaska,AK,2,Denali Borougha,2068
Alaska,AK,2,Dillingham Census Areab,2070
Alaska,AK,2,Fairbanks North Star Borougha,2090
Alaska,AK,2,Haines Borougha,2100
Alaska,AK,2,HoonahAngoon Census Areab,2105
Alaska,AK,2,Juneau City and Borough ofad,2110
Alaska,AK,2,Kenai Peninsula Borougha,2122
Alaska,AK,2,Ketchikan Gateway Borougha,2130
Alaska,AK,2,Kodiak Island Borougha,2150
Alaska,AK,2,Kusilvak Census Areab,2158
Alaska,AK,2,Lake and Peninsula Borougha,2164
Alaska,AK,2,MatanuskaSusitna Borougha,2170
Alaska,AK,2,Nome Census Areab,2180
Alaska,AK,2,North Slope Borougha,2185
Alaska,AK,2,Northwest Arctic Borougha,2188
Alaska,AK,2,Petersburg Boroughae,2195
Alaska,AK,2,Prince of Wales  Hyder Census Areab,2198
Alaska,AK,2,Sitka City and Borough ofaf,2220
Alaska,AK,2,Skagway Municipality ofa,2230
Alaska,AK,2,Southeast Fairbanks Census Areab,2240
Alaska,AK,2,ValdezCordova Census Areab,2261
Alaska,AK,2,Wrangell City and Borough ofa,2275
Alaska,AK,2,Yakutat City and Borough ofag,2282
Alaska,AK,2,YukonKoyukuk Census Areab,2290
American Samoa,AS,60,Eastern District2,60010
American Samoa,AS,60,Manua District2,60020
American Samoa,AS,60,Rose Atoll Rose Island2,60030
American Samoa,AS,60,Swains Island2,60040
American Samoa,AS,60,Western District2,60050
Arizona,AZ,4,Apache County,4001
Arizona,AZ,4,Cochise County,4003
Arizona,AZ,4,Coconino County,4005
Arizona,AZ,4,Gila County,4007
Arizona,AZ,4,Graham County,4009
Arizona,AZ,4,Greenlee County,4011
Arizona,AZ,4,La Paz County,4012
Arizona,AZ,4,Maricopa County,4013
Arizona,AZ,4,Mohave County,4015
Arizona,AZ,4,Navajo County,4017
Arizona,AZ,4,Pima County,4019
Arizona,AZ,4,Pinal County,4021
Arizona,AZ,4,Santa Cruz County,4023
Arizona,AZ,4,Yavapai County,4025
Arizona,AZ,4,Yuma County,4027
Arkansas,AR,5,Arkansas County,5001
Arkansas,AR,5,Ashley County,5003
Arkansas,AR,5,Baxter County,5005
Arkansas,AR,5,Benton County,5007
Arkansas,AR,5,Boone County,5009
Arkansas,AR,5,Bradley County,5011
Arkansas,AR,5,Calhoun County,5013
Arkansas,AR,5,Carroll County,5015
Arkansas,AR,5,Chicot County,5017
Arkansas,AR,5,Clark County,5019
Arkansas,AR,5,Clay County,5021
Arkansas,AR,5,Cleburne County,5023
Arkansas,AR,5,Cleveland County,5025
Arkansas,AR,5,Columbia County,5027
Arkansas,AR,5,Conway County,5029
Arkansas,AR,5,Craighead County,5031
Arkansas,AR,5,Crawford County,5033
Arkansas,AR,5,Crittenden County,5035
Arkansas,AR,5,Cross County,5037
Arkansas,AR,5,Dallas County,5039
Arkansas,AR,5,Desha County,5041
Arkansas,AR,5,Drew County,5043
Arkansas,AR,5,Faulkner County,5045
Arkansas,AR,5,Franklin County,5047
Arkansas,AR,5,Fulton County,5049
Arkansas,AR,5,Garland County,5051
Arkansas,AR,5,Grant County,5053
Arkansas,AR,5,Greene County,5055
Arkansas,AR,5,Hempstead County,5057
Arkansas,AR,5,Hot Spring County,5059
Arkansas,AR,5,Howard County,5061
Arkansas,AR,5,Independence County,5063
Arkansas,AR,5,Izard County,5065
Arkansas,AR,5,Jackson County,5067
Arkansas,AR,5,Jefferson County,5069
Arkansas,AR,5,Johnson County,5071
Arkansas,AR,5,Lafayette County,5073
Arkansas,AR,5,Lawrence County,5075
Arkansas,AR,5,Lee County,5077
Arkansas,AR,5,Lincoln County,5079
Arkansas,AR,5,Little River County,5081
Arkansas,AR,5,Logan County,5083
Arkansas,AR,5,Lonoke County,5085
Arkansas,AR,5,Madison County,5087
Arkansas,AR,5,Marion County,5089
Arkansas,AR,5,Miller County,5091
Arkansas,AR,5,Mississippi County,5093
Arkansas,AR,5,Monroe County,5095
Arkansas,AR,5,Montgomery County,5097
Arkansas,AR,5,Nevada County,5099
Arkansas,AR,5,Newton County,5101
Arkansas,AR,5,Ouachita County,5103
Arkansas,AR,5,Perry County,5105
Arkansas,AR,5,Phillips County,5107
Arkansas,AR,5,Pike County,5109
Arkansas,AR,5,Poinsett County,5111
Arkansas,AR,5,Polk County,5113
Arkansas,AR,5,Pope County,5115
Arkansas,AR,5,Prairie County,5117
Arkansas,AR,5,Pulaski County,5119
Arkansas,AR,5,Randolph County,5121
Arkansas,AR,5,St Francis County,5123
Arkansas,AR,5,Saline County,5125
Arkansas,AR,5,Scott County,5127
Arkansas,AR,5,Searcy County,5129
Arkansas,AR,5,Sebastian County,5131
Arkansas,AR,5,Sevier County,5133
Arkansas,AR,5,Sharp County,5135
Arkansas,AR,5,Stone County,5137
Arkansas,AR,5,Union County,5139
Arkansas,AR,5,Van Buren County,5141
Arkansas,AR,5,Washington County,5143
Arkansas,AR,5,White County,5145
Arkansas,AR,5,Woodruff County,5147
Arkansas,AR,5,Yell County,5149
California,CA,6,Alameda County,6001
California,CA,6,Alpine County,6003
California,CA,6,Amador County,6005
California,CA,6,Butte County,6007
California,CA,6,Calaveras County,6009
California,CA,6,Colusa County,6011
California,CA,6,Contra Costa County,6013
California,CA,6,Del Norte County,6015
California,CA,6,El Dorado County,6017
California,CA,6,Fresno County,6019
California,CA,6,Glenn County,6021
California,CA,6,Humboldt County,6023
California,CA,6,Imperial County,6025
California,CA,6,Inyo County,6027
California,CA,6,Kern County,6029
California,CA,6,Kings County,6031
California,CA,6,Lake County,6033
California,CA,6,Lassen County,6035
California,CA,6,Los Angeles County,6037
California,CA,6,Madera County,6039
California,CA,6,Marin County,6041
California,CA,6,Mariposa County,6043
California,CA,6,Mendocino County,6045
California,CA,6,Merced County,6047
California,CA,6,Modoc County,6049
California,CA,6,Mono County,6051
